# realization, C_[ell=3] 
6.279400000000000000e+04 1.445555052907025981e+02
6.279500000000000000e+04 6.048592480622169205e+02
6.279600000000000000e+04 3.455229104366271713e+02
6.279700000000000000e+04 1.088595574800314353e+03
6.279800000000000000e+04 8.349609288520296104e+02
6.279900000000000000e+04 1.214891709912346869e+03
6.280000000000000000e+04 2.395701315640328062e+02
6.280100000000000000e+04 2.217121477372628533e+02
6.280200000000000000e+04 7.262462345013453842e+02
6.280300000000000000e+04 5.846420357181106056e+02
6.280400000000000000e+04 2.865892768818475815e+02
6.280500000000000000e+04 7.587246549899754200e+02
6.280600000000000000e+04 3.571803154874224902e+02
6.280700000000000000e+04 5.194681704309012957e+02
6.280800000000000000e+04 6.467693387206591069e+02
6.280900000000000000e+04 8.562348506957054042e+02
6.281000000000000000e+04 7.403479813023425322e+02
