# realization, C(theta=180) 
7.514900000000000000e+04 3.769112236230158715e+02
7.515000000000000000e+04 3.412282714447713374e+02
7.515100000000000000e+04 6.391080818462253319e+02
7.515200000000000000e+04 8.473749854048298857e+02
7.515300000000000000e+04 5.638290559805443536e+02
7.515400000000000000e+04 6.072200942946665236e+02
7.515500000000000000e+04 2.469618414763757244e+02
7.515600000000000000e+04 3.567412255833680774e+02
7.515700000000000000e+04 -2.072243682581359394e+02
7.515800000000000000e+04 1.626578623288797871e+02
7.515900000000000000e+04 4.288582067679499232e+02
7.516000000000000000e+04 8.592861140762017840e+02
7.516100000000000000e+04 3.793960152521891018e+02
7.516200000000000000e+04 -2.021488917273019865e+02
7.516300000000000000e+04 2.025996083610369851e+02
7.516400000000000000e+04 4.377357785552227938e+02
7.516500000000000000e+04 4.011745388289257335e+02
7.516600000000000000e+04 2.291853353699524973e+02
7.516700000000000000e+04 3.515680271095515081e+02
7.516800000000000000e+04 7.238058085607954126e+02
7.516900000000000000e+04 7.630602327410597354e+02
7.517000000000000000e+04 4.387834793455663203e+02
7.517100000000000000e+04 5.464469400904281429e+02
7.517200000000000000e+04 4.671941045725524759e+02
7.517300000000000000e+04 6.320127771230384042e+02
7.517400000000000000e+04 1.588583733950138424e+02
7.517500000000000000e+04 1.765713718557346397e+02
7.517600000000000000e+04 5.205771499290308384e+02
7.517700000000000000e+04 4.464869424388517700e+02
7.517800000000000000e+04 5.306552684292120148e+01
7.517900000000000000e+04 1.343954012017421746e+02
7.518000000000000000e+04 1.718461630890175229e+00
7.518100000000000000e+04 1.427739425432675944e+02
7.518200000000000000e+04 2.804587617896886513e+02
7.518300000000000000e+04 -1.496986912002132044e+02
7.518400000000000000e+04 4.646871845276467070e+02
7.518500000000000000e+04 5.082099863164416433e+02
7.518600000000000000e+04 -7.127498465298148744e+01
7.518700000000000000e+04 -3.376322851253518138e+02
7.518800000000000000e+04 8.598265951965332476e+01
7.518900000000000000e+04 1.253106912933854801e+03
7.519000000000000000e+04 -4.958555460801372305e+01
7.519100000000000000e+04 -1.497188769945864806e+01
7.519200000000000000e+04 -3.463046998486984762e+01
7.519300000000000000e+04 -3.029544512531565488e+02
7.519400000000000000e+04 3.671917712573281278e+02
7.519500000000000000e+04 3.125865070114287505e+02
7.519600000000000000e+04 8.349367496490472718e+01
7.519700000000000000e+04 3.063326449322725580e+02
