# realization, C(theta=180) 
7.522900000000000000e+04 3.739283274715144785e+02
7.523000000000000000e+04 4.785440887263168861e+02
7.523100000000000000e+04 4.890271495677785083e+02
7.523200000000000000e+04 -1.601393628530588273e+02
7.523300000000000000e+04 2.305059259235709135e+02
7.523400000000000000e+04 -1.403982656355257745e+02
7.523500000000000000e+04 3.933024851658545344e+02
7.523600000000000000e+04 1.535404389201338518e+02
7.523700000000000000e+04 4.587232142332372291e+02
7.523800000000000000e+04 -9.113112703152432914e+01
7.523900000000000000e+04 1.183227026465052063e+02
7.524000000000000000e+04 1.916394451938361954e+02
7.524100000000000000e+04 -1.769111738401151968e+02
7.524200000000000000e+04 6.047042062792606885e+02
7.524300000000000000e+04 6.664808271084638136e+01
7.524400000000000000e+04 1.307626922146750076e+03
7.524500000000000000e+04 -1.122273052099262358e+01
7.524600000000000000e+04 8.207782326073232753e+02
7.524700000000000000e+04 2.287521621597784360e+02
7.524800000000000000e+04 -2.287221692113544691e+01
7.524900000000000000e+04 -4.601988932648249602e+02
7.525000000000000000e+04 -4.093700370299428641e+02
7.525100000000000000e+04 3.407603621693638729e+02
7.525200000000000000e+04 3.129645526818713961e+02
7.525300000000000000e+04 1.452693934218007143e+02
7.525400000000000000e+04 3.048519337009499850e+02
7.525500000000000000e+04 1.668519856817847824e+02
7.525600000000000000e+04 1.613699162827364830e+02
7.525700000000000000e+04 6.118069303715473097e+02
7.525800000000000000e+04 5.195900117484931968e+01
7.525900000000000000e+04 1.266907422602293991e+02
7.526000000000000000e+04 1.029485840685695308e+01
7.526100000000000000e+04 5.536756317774386389e+02
7.526200000000000000e+04 7.572103701029590184e+01
7.526300000000000000e+04 -9.825710475325138304e+00
